ID,Date Created,Artist,Date Scraped,Text Type,Text,Image Path,Image Type,Text Author,Auction Price
artsy-0000001.jpg,2022,Wilson Imini,11-04-2023,Description,,ArtsyScrape\artsy_images\batch1\artsy-0000001.jpg,Painting,TAAG Gallery,6500
artsy-0000002.jpg,2023,Mark Kostabi,11-04-2023,Description,"Mark Kostabi, whose haunting paintings feature Surrealism-inspired set pieces and angles, rose to prominence amid the Neo-Expressionist boom of 1980s New York. The artist’s signature faceless figures—adrift in starkly lined, color-saturated worlds—attracted attention from collectors, the press, and fellow East Village art-world acolytes. Kostabi began exhibiting throughout the city and internationally, and his work has sold for five figure prices at auction. His paintings, along with his irreverent media appearances and opulent, three-floor mega-studio (dubbed “Kostabi World”), all commented on the absurd commercialism and commodification of art in the decades leading up to the new millennium.",ArtsyScrape\artsy_images\batch1\artsy-0000002.jpg,Painting,Martin Lawrence Galleries,13850
artsy-0000003.jpg,2011,Mr. Brainwash,11-04-2023,Description,"Monumental original mixed media with collage, on crates with irregular dimensions. Albert Einstein once said, “If I had an hour to solve a problem and my life depended on the solution, I would spend the first 55 minutes determining the proper question to ask… for once I know the proper question, I could solve the … Read more",ArtsyScrape\artsy_images\batch1\artsy-0000003.jpg,Painting,Robin Rile Fine Art,175000
artsy-0000004.jpg,1965,Richard Anuszkiewicz,11-04-2023,Description,"NOTE: This lot is accompanied by hardcover copies of Art Now (1989) and Optic Nerve: Perceptual Art of the 1960s (2007). Richard Anuszkiewicz, a pioneering American artist, born on May 23, 1930, in Erie, Pennsylvania, revolutionized the art world with his Op Art creations. He passed away on May 19, 2020, at his … Read more",ArtsyScrape\artsy_images\batch1\artsy-0000004.jpg,Painting,Heritage Auctions,40000
artsy-0000005.jpg,1979,Jean-Michel Basquiat,11-04-2023,Description,"Property from the Estate of Stacey Snyder, Dallas, Texas",ArtsyScrape\artsy_images\batch1\artsy-0000005.jpg,Print,Heritage Auctions,95000
artsy-0000006.jpg,2023,Lindsey Kustusch,11-04-2023,Description,,ArtsyScrape\artsy_images\batch1\artsy-0000006.jpg,Painting,Abend Gallery,1900
artsy-0000007.jpg,2006,Ed Stitt,11-04-2023,Description,"Ed Stitt’s sparkling, photorealistic paintings aim to capture the timeless beauty in everyday subjects and scenes, particularly in and around his home city of Boston. In portraits, landscapes, architectural details, still lifes, and everything in between, Stitt seeks the “golden moment”—the particular combination of light, contrast, and juxtaposition that gives his subjects a timeless beauty. “I would consider my work successful if a viewer saw something they would never think twice about looking at in one of my paintings, yet this time they noticed it and think it looks lovely,” he says. “And if that person then left the place where they saw the painting and went about their business, and in the course of that business noticed something else that is mundane at one of those magical moments, when it is transformed from the ordinary into the beautiful, and they stopped and noticed how lovely it is … if they did this all because my painting reminded them to do this, then my work, and my painting, has been successful.”",ArtsyScrape\artsy_images\batch1\artsy-0000007.jpg,Painting,Gallery NAGA,400
artsy-0000008.jpg,2023,Jason Trotter,11-04-2023,Description,,ArtsyScrape\artsy_images\batch1\artsy-0000008.jpg,Painting,Voltz Clarke,9200
artsy-0000009.jpg,2021,Mr. Brainwash,11-04-2023,Description,"A provocative figure in street art, Mr. Brainwash (a pseudonym for Thierry Guetta) recontextualizes images from popular culture and art history and incorporates them into his wry screen prints and sculptures. Mr. Brainwash’s colorful texts and iconography reflect the artist’s graffiti-inspired sensibility and undermine his original source material. The artist rose to prominence as the main figure in the 2010 Banksy-directed film Exit Through the Gift Shop. Today, his work sells for up to six figures on the secondary market. Mr. Brainwash has also designed album covers for the likes of Madonna and Rick Ross.",ArtsyScrape\artsy_images\batch1\artsy-0000009.jpg,Painting,Robin Rile Fine Art,23000
artsy-0000010.jpg,2023,Lindsey Kustusch,11-04-2023,Description,,ArtsyScrape\artsy_images\batch1\artsy-0000010.jpg,Painting,Abend Gallery,1700
